,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,url
SET MK 2,2s8kT1fuBVjxept8bH68Sw,0.677,0.651,-3.277,0.378,0.271,0.0,0.11,0.822,169.99,1,1,https://open.spotify.com/track/2s8kT1fuBVjxept8bH68Sw
Tequila,2qPIIfZV6d1FgvCCNoLiVL,0.85,0.837,-3.07,0.0614,0.0293,0.00131,0.106,0.736,135.004,5,0,https://open.spotify.com/track/2qPIIfZV6d1FgvCCNoLiVL
Eu Vou Machucar Só um Pouquinho X Catucando Gostosinho,0EMAzKGOFxJgG9vHsm7ciF,0.717,0.655,-5.187,0.473,0.0531,0.0,0.272,0.151,129.911,1,1,https://open.spotify.com/track/0EMAzKGOFxJgG9vHsm7ciF
Set Tatuapé Conceito 2,2VbKpQWIMRelKmEy8rSCAf,0.718,0.644,-2.096,0.315,0.444,0.0,0.0884,0.778,113.283,3,0,https://open.spotify.com/track/2VbKpQWIMRelKmEy8rSCAf
Eu Fiquei Com a Puta,5ljLYEJZRLjtrZt1DXtT8B,0.733,0.669,-0.968,0.113,0.392,0.00014,0.178,0.643,86.541,2,0,https://open.spotify.com/track/5ljLYEJZRLjtrZt1DXtT8B
Bagulho Louco,04vzhKfl5HtPEgrdZJCZ7L,0.531,0.464,-9.882,0.346,0.814,1.57e-06,0.133,0.643,170.085,0,0,https://open.spotify.com/track/04vzhKfl5HtPEgrdZJCZ7L
Videozin pra Tiktok,0IU0HtCAk6AXO5BqWW4lwy,0.622,0.761,0.748,0.75,0.267,0.0,0.105,0.652,78.869,8,0,https://open.spotify.com/track/0IU0HtCAk6AXO5BqWW4lwy
sentaDONA (Remix) s2,3sd2p4kE7xQmFH3lPnFl6h,0.925,0.454,-3.533,0.273,0.252,4.19e-06,0.128,0.771,135.02,3,0,https://open.spotify.com/track/3sd2p4kE7xQmFH3lPnFl6h
Novinha Malada do Insta,0VF2XFdgeID7448iU2Vyg9,0.535,0.441,-4.924,0.296,0.636,0.000167,0.072,0.63,85.982,11,1,https://open.spotify.com/track/0VF2XFdgeID7448iU2Vyg9
Canto da Sereia,5onALPPboSh4z6cO24tOvW,0.7,0.41,-5.548,0.445,0.492,0.0,0.12,0.774,129.958,1,0,https://open.spotify.com/track/5onALPPboSh4z6cO24tOvW
Profissão F0Da,2OEz3Dxs9yOEblN5Kk52Sv,0.717,0.549,-6.57,0.076,0.0729,0.173,0.294,0.356,130.039,9,0,https://open.spotify.com/track/2OEz3Dxs9yOEblN5Kk52Sv
Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),4SIBZgMomGFnrIWjmq7Np8,0.93,0.673,-6.298,0.409,0.275,0.0,0.142,0.95,129.967,6,1,https://open.spotify.com/track/4SIBZgMomGFnrIWjmq7Np8
Formosa,1QmupixsVNc0osesKXraZC,0.765,0.483,-5.356,0.0362,0.432,0.0,0.21,0.217,123.846,2,0,https://open.spotify.com/track/1QmupixsVNc0osesKXraZC
"Bruna, Tu Já Parou Pra Pensar",7qq40cRIYNKZCDt1STfBqt,0.959,0.936,-4.589,0.0616,0.542,0.00975,0.0933,0.581,130.099,7,0,https://open.spotify.com/track/7qq40cRIYNKZCDt1STfBqt
Pegada de Malvado,2Ho2vEEJAZOAnpxl9GsFYR,0.939,0.457,-2.361,0.0671,0.745,0.0,0.0486,0.682,130.027,4,1,https://open.spotify.com/track/2Ho2vEEJAZOAnpxl9GsFYR
Pipoco,7AwVSKaQxpidrtYBerkHKk,0.774,0.742,-4.178,0.0766,0.473,0.000472,0.342,0.736,134.991,8,1,https://open.spotify.com/track/7AwVSKaQxpidrtYBerkHKk
"Calma Bb, Tá nos Melhores Amigos",3Ox3DxqqRCEEVCPnENVx3g,0.919,0.482,-3.574,0.4,0.374,0.000867,0.0711,0.702,134.968,11,0,https://open.spotify.com/track/3Ox3DxqqRCEEVCPnENVx3g
Menina Se Prepara,2aqqXrjrPdRHU9uSeRmL3C,0.541,0.515,-3.182,0.0488,0.496,0.0,0.0937,0.41,86.66,5,1,https://open.spotify.com/track/2aqqXrjrPdRHU9uSeRmL3C
Baile do Cinga do 12,2uLt06E9xCZVPFXg9v794o,0.93,0.591,1.906,0.261,0.277,0.0,0.147,0.569,131.971,10,1,https://open.spotify.com/track/2uLt06E9xCZVPFXg9v794o
Set dos Casados,2xebCnKCjYWBhJ4Ai8hO5E,0.581,0.384,-7.618,0.295,0.325,0.0,0.0953,0.149,199.884,4,0,https://open.spotify.com/track/2xebCnKCjYWBhJ4Ai8hO5E
ESSE É LADRÃO,5rz7ZQkMpQHGDXC62P2Axw,0.871,0.565,-4.322,0.542,0.106,0.0,0.167,0.56,86.509,2,1,https://open.spotify.com/track/5rz7ZQkMpQHGDXC62P2Axw
Bala Love,48Ll1C6qAnP2UjnopQDh4a,0.628,0.318,-8.887,0.0507,0.807,0.101,0.19,0.492,86.453,9,0,https://open.spotify.com/track/48Ll1C6qAnP2UjnopQDh4a
Não Nasceu pra Namorar,6pQKUKBpwr6GhfhcFFFozo,0.525,0.448,-4.075,0.0443,0.14,0.0,0.0922,0.527,83.406,1,0,https://open.spotify.com/track/6pQKUKBpwr6GhfhcFFFozo
Set do G15 - A Revoada Começou,7LdYiTZzlxsPKi8kvNXeBS,0.654,0.309,-13.401,0.0567,0.435,0.0474,0.104,0.109,86.698,5,1,https://open.spotify.com/track/7LdYiTZzlxsPKi8kvNXeBS
Voltei pra Cachorrada,3bJ4nTkTXMYpYgM7zoUqPY,0.859,0.748,1.42,0.15,0.447,0.0,0.0901,0.617,129.798,9,0,https://open.spotify.com/track/3bJ4nTkTXMYpYgM7zoUqPY
Ô Moça,1mQOFRDoqI34LdN79PE0vH,0.84,0.495,-5.155,0.0797,0.481,0.0,0.0853,0.527,130.041,5,0,https://open.spotify.com/track/1mQOFRDoqI34LdN79PE0vH
DANÇARINA,5zNxUkUW9WiV5oyg6gh2wB,0.778,0.571,-4.776,0.0788,0.0423,0.0,0.0964,0.554,134.999,9,0,https://open.spotify.com/track/5zNxUkUW9WiV5oyg6gh2wB
Ela é Espetacular (Mulher Kama Sutra 2),0x0V1IID2Sj902k6LzuWds,0.904,0.713,-0.623,0.0892,0.641,0.0,0.124,0.77,130.023,10,1,https://open.spotify.com/track/0x0V1IID2Sj902k6LzuWds
Maçã Verde,7lJoRyuNJtuiqTcKtuMuIR,0.582,0.531,-3.725,0.0905,0.0428,7.39e-06,0.1,0.169,85.322,10,1,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
Privilégio,2ASs0n7ukfyxAxDtdir4vF,0.567,0.645,-1.842,0.0817,0.623,0.00294,0.0822,0.888,85.107,3,0,https://open.spotify.com/track/2ASs0n7ukfyxAxDtdir4vF
Cai de vagarinho até embaixo,4V0OqVsxQOtwSkzh4540xl,0.939,0.544,-7.481,0.221,0.481,0.0,0.301,0.9,130.264,11,1,https://open.spotify.com/track/4V0OqVsxQOtwSkzh4540xl
Sua amiga deu,142YjJNOuXjzeSDnB1ujw1,0.947,0.556,-4.536,0.0736,0.277,5.43e-06,0.208,0.426,130.046,7,1,https://open.spotify.com/track/142YjJNOuXjzeSDnB1ujw1
Ei Tudo Bem,3yNHwvq8n95NJTBILYEciD,0.807,0.533,-5.695,0.0344,0.691,0.0,0.403,0.681,129.966,4,0,https://open.spotify.com/track/3yNHwvq8n95NJTBILYEciD
Gonzaga Deu Fuga Com Uma Loira Cabulosa Em Cima Da 66,6mUNR2pJOxKRCVo97YVlHE,0.899,0.367,-1.952,0.186,0.51,0.0,0.124,0.319,130.032,7,0,https://open.spotify.com/track/6mUNR2pJOxKRCVo97YVlHE
Then It All Goes Away,5RaThsdZpF9WWwoP00NjLI,0.683,0.818,-3.061,0.0332,0.019,2.42e-05,0.0807,0.965,140.019,2,1,https://open.spotify.com/track/5RaThsdZpF9WWwoP00NjLI
Cutie,4nLTOnpSCBwRlul92HLIyW,0.682,0.609,-6.372,0.139,0.000928,0.000201,0.142,0.723,111.991,7,0,https://open.spotify.com/track/4nLTOnpSCBwRlul92HLIyW
Boys,7yfLvK7r1w5bql3G0Uha5w,0.515,0.771,-5.081,0.0394,0.0339,1.81e-05,0.0945,0.552,104.995,2,1,https://open.spotify.com/track/7yfLvK7r1w5bql3G0Uha5w
The King,4M6XHrTc4RtdgKN9gzEAM6,0.631,0.67,-6.175,0.052,0.0776,0.112,0.086,0.746,108.973,6,1,https://open.spotify.com/track/4M6XHrTc4RtdgKN9gzEAM6
j's lullaby (darlin' i'd wait for you),7LNm1oWd6PniO9wRYpNY5o,0.54,0.11,-19.885,0.0328,0.498,0.000614,0.0781,0.172,76.068,8,1,https://open.spotify.com/track/7LNm1oWd6PniO9wRYpNY5o
All I Ever Asked,2F9DCIJ7ZXHhNkiIlIIOkw,0.913,0.459,-7.528,0.0446,0.469,0.000889,0.0891,0.848,114.996,5,1,https://open.spotify.com/track/2F9DCIJ7ZXHhNkiIlIIOkw
Don't You Want Me,38X5UR1bKeg85ocjyPNAcl,0.695,0.697,-6.838,0.0392,0.0968,8.54e-06,0.466,0.91,124.948,8,0,https://open.spotify.com/track/38X5UR1bKeg85ocjyPNAcl
slow down,2IKix80lBA5ppm6096p5U7,0.63,0.468,-7.887,0.0485,0.365,0.00163,0.0994,0.648,172.118,4,1,https://open.spotify.com/track/2IKix80lBA5ppm6096p5U7
Close To You,4ReJJcpW8HtVnqzhf6DwNV,0.875,0.649,-5.754,0.0433,0.429,0.00237,0.0704,0.833,140.031,6,1,https://open.spotify.com/track/4ReJJcpW8HtVnqzhf6DwNV
I Miss When I Smelled Like You,6IhWjoBYe5hvHKA4ZLH4dX,0.548,0.56,-6.246,0.036,0.128,0.000132,0.139,0.476,83.967,4,1,https://open.spotify.com/track/6IhWjoBYe5hvHKA4ZLH4dX
I Think I Met You In A Dream,09MZIpr7ciaUZyxHKb37Mz,0.652,0.764,-6.082,0.0502,0.0862,0.0493,0.103,0.734,74.993,2,1,https://open.spotify.com/track/09MZIpr7ciaUZyxHKb37Mz
Dandelion,5wC3UC33J8qiKRl3ecFaA3,0.606,0.8,-5.945,0.0332,0.101,0.000763,0.108,0.822,144.003,0,1,https://open.spotify.com/track/5wC3UC33J8qiKRl3ecFaA3
Perfume,3wJAk2rKEEoYlXSLpLVrkU,0.49,0.821,-7.711,0.0848,0.348,0.000841,0.198,0.642,195.128,7,1,https://open.spotify.com/track/3wJAk2rKEEoYlXSLpLVrkU
Silk Chiffon,0BLY78hYpsH9NqP6X0N8CX,0.622,0.736,-6.219,0.0444,0.0156,0.0,0.112,0.432,97.006,8,1,https://open.spotify.com/track/0BLY78hYpsH9NqP6X0N8CX
KEEP IT UP,0ioTTk5l0Zz7Oh48qEocgj,0.708,0.477,-7.297,0.0565,0.292,1.75e-06,0.255,0.733,149.929,8,1,https://open.spotify.com/track/0ioTTk5l0Zz7Oh48qEocgj
I'll Call You Mine,0cH6s5bw1BS4hL06hmUO6F,0.612,0.727,-5.141,0.0492,0.173,5.61e-05,0.273,0.677,119.907,4,1,https://open.spotify.com/track/0cH6s5bw1BS4hL06hmUO6F
Candyfloss,5Sglaa4CqeCmpLLWFCvu3i,0.696,0.815,-3.211,0.0494,0.0175,0.00691,0.253,0.859,125.012,0,1,https://open.spotify.com/track/5Sglaa4CqeCmpLLWFCvu3i
So Good,0ZpHuEhi1CvOJgrqOSy8mv,0.795,0.584,-5.758,0.0396,0.172,2.99e-05,0.103,0.785,127.05,8,0,https://open.spotify.com/track/0ZpHuEhi1CvOJgrqOSy8mv
Ride or Die,22uD6yBefgzRTLrohe4IZs,0.544,0.716,-6.182,0.0458,0.214,1.62e-06,0.114,0.784,183.977,9,1,https://open.spotify.com/track/22uD6yBefgzRTLrohe4IZs
Let U Go,7FEiuFp1Zo9rxehIquEtL2,0.692,0.941,-4.29,0.0951,0.0358,0.0,0.161,0.908,164.04,1,0,https://open.spotify.com/track/7FEiuFp1Zo9rxehIquEtL2
One More Weekend,5CXCo9MJFpjFLkEFKaMz19,0.622,0.565,-6.92,0.122,0.536,0.0,0.205,0.5,131.037,3,1,https://open.spotify.com/track/5CXCo9MJFpjFLkEFKaMz19
People Watching,4JeOesjcWWlprTAvucDSJX,0.53,0.593,-7.286,0.0545,0.385,0.0,0.314,0.538,125.723,5,1,https://open.spotify.com/track/4JeOesjcWWlprTAvucDSJX
Dizzy (feat. Thomas Headon and Alfie Templeman),3Gplr4iOpewQ9ynbZujzlu,0.707,0.735,-5.237,0.0362,0.00896,4.78e-05,0.0433,0.762,129.965,1,1,https://open.spotify.com/track/3Gplr4iOpewQ9ynbZujzlu
Off My Mind,3X91uoqAVtHmqv1bvZbNog,0.57,0.688,-7.48,0.032,0.308,1.96e-05,0.151,0.749,111.993,0,1,https://open.spotify.com/track/3X91uoqAVtHmqv1bvZbNog
WHEN WE WERE KIDS,08RcqKgGxRBnaqAsgm07DI,0.795,0.814,-6.437,0.0267,0.268,0.000782,0.0934,0.962,119.991,4,1,https://open.spotify.com/track/08RcqKgGxRBnaqAsgm07DI
at least i'm pretty,5o9iQVktO08gIlRAHqqxtj,0.86,0.422,-9.785,0.0296,0.541,0.00449,0.139,0.523,99.958,1,1,https://open.spotify.com/track/5o9iQVktO08gIlRAHqqxtj
Stargazing,0VF7YLIxSQKyNiFL3X6MmN,0.512,0.483,-7.798,0.0298,0.00304,0.0011,0.12,0.367,160.009,0,1,https://open.spotify.com/track/0VF7YLIxSQKyNiFL3X6MmN
21,2D2lazsae9o1UoVPUAdxyT,0.756,0.673,-6.336,0.0899,0.516,0.0,0.109,0.402,125.055,2,1,https://open.spotify.com/track/2D2lazsae9o1UoVPUAdxyT
When U Saw Love (ft. Babygirl),2DGdgztVbE3pFmqoF1rHzp,0.617,0.71,-10.114,0.0326,0.185,0.378,0.117,0.692,97.019,0,1,https://open.spotify.com/track/2DGdgztVbE3pFmqoF1rHzp
Baby Don't Go,6Rb5kSprwEE9SeIyfYwTPF,0.75,0.851,-3.769,0.0433,0.0247,2.88e-06,0.0698,0.83,140.032,11,0,https://open.spotify.com/track/6Rb5kSprwEE9SeIyfYwTPF
Brad Pitt,5F1TZVziCp4TuXIMCsIxwM,0.781,0.726,-5.794,0.0526,0.0149,1.88e-05,0.205,0.605,100.043,8,1,https://open.spotify.com/track/5F1TZVziCp4TuXIMCsIxwM
Seeds,7pJAND8bggxN2rEVYGpPfA,0.502,0.666,-8.319,0.0505,0.33,0.00638,0.0961,0.148,171.957,2,1,https://open.spotify.com/track/7pJAND8bggxN2rEVYGpPfA
PARTY W OUT ME,1y5pHb1686VfUAjaypoYG4,0.813,0.93,-5.08,0.0503,0.163,0.321,0.0957,0.97,140.065,2,1,https://open.spotify.com/track/1y5pHb1686VfUAjaypoYG4
Summerland,0dN3cttUifpkm1Oja79zJr,0.713,0.804,-4.971,0.15,0.258,0.0,0.346,0.703,103.881,2,1,https://open.spotify.com/track/0dN3cttUifpkm1Oja79zJr
Headphones,4KrwobI2xa03a24kPDQIvh,0.665,0.652,-6.242,0.0727,0.029,0.0295,0.127,0.809,155.999,2,1,https://open.spotify.com/track/4KrwobI2xa03a24kPDQIvh
That's Where I Am,4f1KkbXHnfIVZ9vmIExByJ,0.269,0.764,-3.735,0.0534,0.132,0.0,0.0723,0.15,181.299,7,1,https://open.spotify.com/track/4f1KkbXHnfIVZ9vmIExByJ
Anything But Me,32JZt8EmiioCGTU6UIXJ4E,0.641,0.776,-5.171,0.0684,0.0017,0.00021,0.127,0.554,114.679,0,1,https://open.spotify.com/track/32JZt8EmiioCGTU6UIXJ4E
Oxygen,3OSgKpb2c1VbFqDOqiz8tZ,0.424,0.943,-5.435,0.08,0.00108,0.0,0.279,0.521,163.937,6,1,https://open.spotify.com/track/3OSgKpb2c1VbFqDOqiz8tZ
Till Forever Falls Apart,2769RhOZs0ezRncRW1vryp,0.509,0.498,-6.94,0.0315,0.413,0.0,0.0674,0.283,99.729,2,1,https://open.spotify.com/track/2769RhOZs0ezRncRW1vryp
Emilee,0iOEtxh9XIYfgxd2b1EHaH,0.733,0.627,-6.841,0.0332,0.392,1.63e-05,0.187,0.858,91.974,3,0,https://open.spotify.com/track/0iOEtxh9XIYfgxd2b1EHaH
hiccup,5C0fWU1j3pa4vvAZuYyisq,0.415,0.585,-8.958,0.0761,0.0384,3.5e-05,0.328,0.554,160.292,9,1,https://open.spotify.com/track/5C0fWU1j3pa4vvAZuYyisq
Magnificent,287p7lbcw95SrINpsNJTzk,0.622,0.392,-12.572,0.0405,0.336,0.00962,0.073,0.413,79.977,9,1,https://open.spotify.com/track/287p7lbcw95SrINpsNJTzk
Complicated - Spotify Singles,3NfykbNWo0nDR4aLdenRaO,0.483,0.794,-6.112,0.0435,0.000726,0.000815,0.0969,0.543,148.029,1,1,https://open.spotify.com/track/3NfykbNWo0nDR4aLdenRaO
Romeo & Juliet,4AXS0kSzmuhAAYJtVKbZDq,0.312,0.479,-7.119,0.044,0.464,1.67e-05,0.503,0.0823,159.21,0,1,https://open.spotify.com/track/4AXS0kSzmuhAAYJtVKbZDq
hate to be lame (feat. FINNEAS),3QEX5O23KVp1yg1tj6Hycp,0.507,0.252,-12.625,0.0616,0.869,0.000293,0.0819,0.307,137.314,10,0,https://open.spotify.com/track/3QEX5O23KVp1yg1tj6Hycp
More Like You,1UpFb9izAOYlcxWTOQzGf6,0.883,0.431,-10.128,0.0434,0.591,0.00039,0.104,0.768,127.949,2,1,https://open.spotify.com/track/1UpFb9izAOYlcxWTOQzGf6
Medicine,0CWvHfEwbeBVN0RViTybvL,0.866,0.754,-5.531,0.0356,0.0364,0.00181,0.0801,0.962,115.034,0,1,https://open.spotify.com/track/0CWvHfEwbeBVN0RViTybvL
Tainted Love,2nx6I5R9C8nfBofUdlXoRA,0.628,0.695,-5.328,0.0327,0.0378,0.0,0.358,0.398,113.972,0,1,https://open.spotify.com/track/2nx6I5R9C8nfBofUdlXoRA
Every Shade of Blue,1cKWyEiGWLXAUTz6jI1d7c,0.538,0.61,-6.103,0.0329,0.105,5.88e-06,0.22,0.187,120.051,2,1,https://open.spotify.com/track/1cKWyEiGWLXAUTz6jI1d7c
I Won't Bite,3NJe9t6oxZgzErlBrWDuKx,0.739,0.642,-6.468,0.0292,0.103,1.42e-05,0.138,0.718,128.002,7,0,https://open.spotify.com/track/3NJe9t6oxZgzErlBrWDuKx
Meteorite,6el1gIJ39V0ycFwNLZiKm7,0.727,0.606,-6.466,0.0283,0.11,0.0,0.295,0.564,116.053,6,1,https://open.spotify.com/track/6el1gIJ39V0ycFwNLZiKm7
Naked in Manhattan,74oXlQPr6x05HDrGVaiYXZ,0.771,0.704,-5.098,0.0315,0.0835,0.0,0.0935,0.55,118.01,1,1,https://open.spotify.com/track/74oXlQPr6x05HDrGVaiYXZ
Will We Ever Get This Right,7Ck7GSPoBIDwNwcas05Sz1,0.797,0.615,-6.062,0.0322,0.128,0.000467,0.237,0.508,120.985,2,1,https://open.spotify.com/track/7Ck7GSPoBIDwNwcas05Sz1
Peaceful In My Mind,6pQcqaoZlGKF3zvglt6tvc,0.848,0.576,-7.634,0.0466,0.294,0.000587,0.209,0.485,119.024,4,1,https://open.spotify.com/track/6pQcqaoZlGKF3zvglt6tvc
Hey Lover!,7rC3P7tpWriaC4hYWKwGQd,0.586,0.744,-10.142,0.0508,0.00614,0.000172,0.372,0.523,117.006,4,1,https://open.spotify.com/track/7rC3P7tpWriaC4hYWKwGQd
Brutal,5bRYA6MVHD4uioMc402Mow,0.484,0.444,-11.645,0.0568,0.798,0.00132,0.1,0.349,151.061,7,1,https://open.spotify.com/track/5bRYA6MVHD4uioMc402Mow
MESS U MADE,7xW3rU5rzv4ghw0h8APxuH,0.674,0.366,-6.539,0.0381,0.341,7.3e-06,0.125,0.346,126.994,4,1,https://open.spotify.com/track/7xW3rU5rzv4ghw0h8APxuH
frown,0P2CBPHJsD0BgdsqHedugp,0.777,0.708,-5.22,0.0303,0.155,0.000221,0.0663,0.964,96.001,2,1,https://open.spotify.com/track/0P2CBPHJsD0BgdsqHedugp
the lifeboat's empty!,59zrASvoFolvYcBSewxuT4,0.534,0.649,-7.531,0.0435,0.00712,6.22e-06,0.137,0.358,161.828,5,1,https://open.spotify.com/track/59zrASvoFolvYcBSewxuT4
I Want To Be With You,4LK36kV9w3KBD2GYL26ZBq,0.743,0.443,-6.968,0.0382,0.0225,6.76e-06,0.099,0.37,119.984,4,1,https://open.spotify.com/track/4LK36kV9w3KBD2GYL26ZBq
dancing in the kitchen,0ohcCrxZkBfFbkuRPOZQZX,0.619,0.736,-7.651,0.0425,0.0328,0.0,0.0864,0.299,93.993,11,1,https://open.spotify.com/track/0ohcCrxZkBfFbkuRPOZQZX
Am I Alright,2OZJWIhTXHL3UKJmhG5kxq,0.662,0.715,-5.132,0.0474,0.000213,0.0966,0.138,0.708,125.022,9,0,https://open.spotify.com/track/2OZJWIhTXHL3UKJmhG5kxq
Dreams,2Au8Kb3fJ4sYsdTwkVnqJW,0.503,0.675,-7.374,0.0465,0.175,0.000168,0.11,0.254,131.882,4,1,https://open.spotify.com/track/2Au8Kb3fJ4sYsdTwkVnqJW
Serotonin,1q2Zb0v5ZGxKDktEz7wSPb,0.58,0.788,-4.714,0.259,0.0123,1.84e-05,0.368,0.72,148.992,2,1,https://open.spotify.com/track/1q2Zb0v5ZGxKDktEz7wSPb
Mess It Up,0PLhwCmQ7cC3ThRGPn3HxF,0.765,0.582,-4.528,0.12,0.245,8.21e-05,0.154,0.36,132.992,0,1,https://open.spotify.com/track/0PLhwCmQ7cC3ThRGPn3HxF
"Oh, But Lover",3bHeVMbA84wmuHr5p2POrp,0.628,0.504,-10.092,0.0482,0.345,1.71e-05,0.334,0.375,126.083,11,1,https://open.spotify.com/track/3bHeVMbA84wmuHr5p2POrp
stuck on us,5GIsnSmSyFM8dI3e4dP1G5,0.541,0.862,-6.674,0.0329,0.00572,0.000106,0.644,0.472,145.013,2,1,https://open.spotify.com/track/5GIsnSmSyFM8dI3e4dP1G5
Lola,5VDmaEUjH0SGBDDjYgoxHW,0.589,0.631,-7.566,0.0389,0.0988,0.00317,0.17,0.773,158.988,3,1,https://open.spotify.com/track/5VDmaEUjH0SGBDDjYgoxHW
Shock Flesh,5x9TpKuPv0dkGF5jxUNgZd,0.617,0.712,-8.932,0.0297,0.23,0.000201,0.304,0.525,139.903,2,1,https://open.spotify.com/track/5x9TpKuPv0dkGF5jxUNgZd
Doesn't Matter,0NVxFntUSEYwPn27lX2J7r,0.681,0.453,-8.389,0.0358,0.594,0.00012,0.145,0.234,87.995,7,1,https://open.spotify.com/track/0NVxFntUSEYwPn27lX2J7r
Astronomy,0KmgJyW4GDgonqsoyx0CZ3,0.471,0.335,-8.767,0.0273,0.593,2.11e-05,0.297,0.111,145.252,4,0,https://open.spotify.com/track/0KmgJyW4GDgonqsoyx0CZ3
Easy,3gwoz4xZuye0agjYgrC2je,0.639,0.569,-7.236,0.0487,0.0581,0.000169,0.108,0.616,142.967,0,0,https://open.spotify.com/track/3gwoz4xZuye0agjYgrC2je
HONEYMOON,3pBVQynngYmTMnAsXnFXcF,0.771,0.611,-7.279,0.0286,0.629,0.557,0.142,0.861,109.999,2,1,https://open.spotify.com/track/3pBVQynngYmTMnAsXnFXcF
I Love You So - King Henry Remix,0F6XcWEzymSracgq12pOXX,0.763,0.745,-4.855,0.0488,0.0316,0.0129,0.186,0.773,119.976,10,1,https://open.spotify.com/track/0F6XcWEzymSracgq12pOXX
"love, or the lack thereof",07s5wOe2qlyWWsf5I5gRxd,0.672,0.681,-7.281,0.161,0.137,0.0,0.0893,0.38,115.048,1,1,https://open.spotify.com/track/07s5wOe2qlyWWsf5I5gRxd
Hannah Montana,00ko8Vr9Hbw0hJC9laqBOj,0.786,0.609,-7.922,0.0809,0.647,0.0,0.0926,0.298,114.073,0,1,https://open.spotify.com/track/00ko8Vr9Hbw0hJC9laqBOj
2000 Miles,1nWCNJX79ARq0EtXyKyiIS,0.707,0.765,-6.889,0.0324,0.0751,0.0105,0.113,0.571,125.075,1,0,https://open.spotify.com/track/1nWCNJX79ARq0EtXyKyiIS
Nervous At Night,6ubkQOWywS3qVRyJeMpexQ,0.597,0.583,-6.752,0.0285,0.0122,4.47e-06,0.121,0.53,120.038,1,1,https://open.spotify.com/track/6ubkQOWywS3qVRyJeMpexQ
Nothing,2DhYQXK6ZkOTB1665GTagQ,0.512,0.77,-5.796,0.0368,0.001,0.0,0.118,0.551,87.856,7,1,https://open.spotify.com/track/2DhYQXK6ZkOTB1665GTagQ
Can I Leave Me Too?,7gJNP36MQMaE3HyyKkwgAO,0.439,0.771,-4.737,0.0467,0.14,0.0014,0.621,0.268,119.943,3,1,https://open.spotify.com/track/7gJNP36MQMaE3HyyKkwgAO
Clean,2AmVGGu8jIgS7Kn3j6rB0K,0.7,0.625,-6.845,0.0327,0.0213,0.000453,0.124,0.641,128.048,1,1,https://open.spotify.com/track/2AmVGGu8jIgS7Kn3j6rB0K
Another Man's Jeans,2Tv3bPKLESHfl8jgAlY2Pv,0.722,0.796,-5.402,0.029,0.000926,5.18e-05,0.196,0.933,119.97,1,1,https://open.spotify.com/track/2Tv3bPKLESHfl8jgAlY2Pv
Block me out,7AX1eCw6qcX54PrDylynJr,0.636,0.527,-7.472,0.0414,0.771,1.3e-06,0.126,0.222,127.999,10,1,https://open.spotify.com/track/7AX1eCw6qcX54PrDylynJr
How Do I Know?,4mzRgafmXg0S1FBwGdwFXC,0.451,0.843,-5.124,0.148,0.00876,9.22e-06,0.127,0.697,176.012,1,0,https://open.spotify.com/track/4mzRgafmXg0S1FBwGdwFXC
Cure,1H2HqAQw4sDHQiZQDvsAYd,0.605,0.702,-6.587,0.0496,0.0312,0.0,0.0596,0.631,94.949,1,1,https://open.spotify.com/track/1H2HqAQw4sDHQiZQDvsAYd
coming of age,0bmBT74X61khNZckpm6qWi,0.616,0.928,-4.116,0.0579,0.0494,0.0076,0.0454,0.916,150.016,3,1,https://open.spotify.com/track/0bmBT74X61khNZckpm6qWi
Cry Baby,6EhLEIwLKrqjf6VTx9eGOd,0.536,0.685,-6.511,0.0286,0.491,0.0133,0.166,0.786,78.92,2,1,https://open.spotify.com/track/6EhLEIwLKrqjf6VTx9eGOd
Way Way Back,2hX7tp2n5rcObTtuhjo6cM,0.629,0.51,-7.887,0.0235,0.715,0.24,0.0933,0.321,106.973,0,1,https://open.spotify.com/track/2hX7tp2n5rcObTtuhjo6cM
Catch My Drift,2r3d7ZEucbIL2N7E1ayWyX,0.603,0.627,-6.661,0.0427,0.17,1.35e-06,0.0823,0.457,157.975,6,1,https://open.spotify.com/track/2r3d7ZEucbIL2N7E1ayWyX
don't miss me,5MG69A9XyXDbBbeOxdR3Tl,0.796,0.727,-4.726,0.04,0.793,2.49e-05,0.0858,0.818,104.98,1,1,https://open.spotify.com/track/5MG69A9XyXDbBbeOxdR3Tl
Home By Now,5nnPrQFYUQijEz4lwMX4dC,0.654,0.756,-5.924,0.0962,0.00241,1.58e-05,0.13,0.247,115.996,2,1,https://open.spotify.com/track/5nnPrQFYUQijEz4lwMX4dC
all i ever wanted (was you),3Lq24mWk6irXyj6CBccvjV,0.563,0.713,-4.693,0.0523,0.257,1.32e-05,0.0597,0.507,162.07,1,0,https://open.spotify.com/track/3Lq24mWk6irXyj6CBccvjV
American Teenager,2k5D4U0IEcEW5eGyNtpXhH,0.425,0.743,-5.006,0.0462,0.00302,0.0,0.0915,0.151,119.912,4,1,https://open.spotify.com/track/2k5D4U0IEcEW5eGyNtpXhH
Summer Vibe,1SdItcSOTD14tvIo8UzA6k,0.891,0.627,-8.458,0.0566,0.435,0.0,0.266,0.922,136.024,4,1,https://open.spotify.com/track/1SdItcSOTD14tvIo8UzA6k
